Year,CO2emis,CO2conc,TempAnomaly,scenario,CO2emis,CO2conc,TempAnomaly,scenario
2115,28.7708,1076.934369,5.73200136,base,9.9693,275,1.012908383,constant CO2
2116,28.76772,1076.934369,5.755454787,base,9.9693,275,1.018343819,constant CO2
2117,28.76464,1076.934369,5.778579984,base,9.9693,275,1.023724024,constant CO2
2118,28.76156,1076.934369,5.801380557,base,9.9693,275,1.029048468,constant CO2
2119,28.75848,1076.934369,5.823860095,base,9.9693,275,1.034316668,constant CO2
2120,28.7554,1076.934369,5.846021431,base,9.9693,275,1.039527444,constant CO2
2121,28.75232,1076.934369,5.86786691,base,9.9693,275,1.044679189,constant CO2
2122,28.74924,1076.934369,5.889399483,base,9.9693,275,1.049770964,constant CO2
2123,28.74616,1076.934369,5.91062269,base,9.9693,275,1.054802475,constant CO2
2124,28.74308,1076.934369,5.931540544,base,9.9693,275,1.059773962,constant CO2
2125,28.74,1076.934369,5.952157529,base,9.9693,275,1.064686192,constant CO2
2126,28.74,1076.934369,5.972478168,base,9.9693,275,1.069540027,constant CO2
2127,28.74,1076.934369,5.992506672,base,9.9693,275,1.074336072,constant CO2
2128,28.74,1076.934369,6.012247017,base,9.9693,275,1.079074753,constant CO2
2129,28.74,1076.934369,6.031703061,base,9.9693,275,1.083756431,constant CO2
2130,28.74,1076.934369,6.050878581,base,9.9693,275,1.088381439,constant CO2
2131,28.74,1076.934369,6.069776526,base,9.9693,275,1.092949334,constant CO2
2132,28.74,1076.934369,6.088399282,base,9.9693,275,1.097459162,constant CO2
2133,28.74,1076.934369,6.106749793,base,9.9693,275,1.101910578,constant CO2
2134,28.74,1076.934369,6.12483155,base,9.9693,275,1.106303832,constant CO2
2135,28.74,1076.934369,6.142648481,base,9.9693,275,1.110639662,constant CO2
2136,28.74,1076.934369,6.160204963,base,9.9693,275,1.114919301,constant CO2
2137,28.74,1076.934369,6.177505399,base,9.9693,275,1.119144059,constant CO2
2138,28.74,1076.934369,6.194553843,base,9.9693,275,1.123314941,constant CO2
2139,28.74,1076.934369,6.211354094,base,9.9693,275,1.127432744,constant CO2
2140,28.74,1076.934369,6.227909779,base,9.9693,275,1.13149814,constant CO2
2141,28.74,1076.934369,6.244224416,base,9.9693,275,1.135511736,constant CO2
2142,28.74,1076.934369,6.260300685,base,9.9693,275,1.139473342,constant CO2
2143,28.74,1076.934369,6.276140652,base,9.9693,275,1.143382202,constant CO2
2144,28.74,1076.934369,6.291746956,base,9.9693,275,1.147238173,constant CO2
2145,28.74,1076.934369,6.307122736,base,9.9693,275,1.151041655,constant CO2
2146,28.74,1076.934369,6.32227159,base,9.9693,275,1.15479355,constant CO2
2147,28.74,1076.934369,6.337197546,base,9.9693,275,1.158495227,constant CO2
2148,28.74,1076.934369,6.351904661,base,9.9693,275,1.162148128,constant CO2
2149,28.74,1076.934369,6.366396641,base,9.9693,275,1.165753383,constant CO2
2150,28.74,1076.934369,6.380676887,base,9.9693,275,1.169311853,constant CO2
2151,28.470205,1076.934369,6.394748638,base,9.9693,275,1.172824281,constant CO2
2152,28.20041,1076.934369,6.408615037,base,9.9693,275,1.176291345,constant CO2
2153,27.930615,1076.934369,6.422278421,base,9.9693,275,1.17971296,constant CO2
2154,27.66082,1076.934369,6.435740487,base,9.9693,275,1.183088436,constant CO2
2155,27.391026,1076.934369,6.44900346,base,9.9693,275,1.186417646,constant CO2
2156,27.121231,1076.934369,6.462070101,base,9.9693,275,1.189701036,constant CO2
2157,26.851436,1076.934369,6.474943615,base,9.9693,275,1.192939528,constant CO2
2158,26.581641,1076.934369,6.487627628,base,9.9693,275,1.196134507,constant CO2
2159,26.311846,1076.934369,6.5001258,base,9.9693,275,1.199287416,constant CO2
2160,26.042051,1076.934369,6.512441426,base,9.9693,275,1.202399375,constant CO2
2161,25.772256,1076.934369,6.524577491,base,9.9693,275,1.205471222,constant CO2
2162,25.502461,1076.934369,6.53653681,base,9.9693,275,1.20850366,constant CO2
2163,25.232666,1076.934369,6.548322063,base,9.9693,275,1.211497288,constant CO2
2164,24.962871,1076.934369,6.559935087,base,9.9693,275,1.214451893,constant CO2
2165,24.693077,1076.934369,6.571377092,base,9.9693,275,1.217366667,constant CO2
2166,24.423282,1076.934369,6.58264982,base,9.9693,275,1.220241365,constant CO2
2167,24.153487,1076.934369,6.593755574,base,9.9693,275,1.223076332,constant CO2
2168,23.883692,1076.934369,6.604697111,base,9.9693,275,1.225872396,constant CO2
2169,23.613897,1076.934369,6.615477631,base,9.9693,275,1.22863086,constant CO2
2170,23.344102,1076.934369,6.626100375,base,9.9693,275,1.231353094,constant CO2
2171,23.074307,1076.934369,6.636568201,base,9.9693,275,1.234040115,constant CO2
2172,22.804512,1076.934369,6.646883694,base,9.9693,275,1.236692694,constant CO2
2173,22.534717,1076.934369,6.657049252,base,9.9693,275,1.239311442,constant CO2
2174,22.264922,1076.934369,6.667067142,base,9.9693,275,1.241896869,constant CO2
2175,21.995128,1076.934369,6.676938777,base,9.9693,275,1.244448653,constant CO2
2176,21.725333,1076.934369,6.68666499,base,9.9693,275,1.246965922,constant CO2
2177,21.455538,1076.934369,6.696247118,base,9.9693,275,1.249448332,constant CO2
2178,21.185743,1076.934369,6.705687074,base,9.9693,275,1.251896143,constant CO2
2179,20.915948,1076.934369,6.714987229,base,9.9693,275,1.254310093,constant CO2
2180,20.646153,1076.934369,6.724150444,base,9.9693,275,1.25669144,constant CO2
2181,20.376358,1076.934369,6.73317958,base,9.9693,275,1.259041464,constant CO2
2182,20.106563,1076.934369,6.74207716,base,9.9693,275,1.26136113,constant CO2
2183,19.836768,1076.934369,6.750845398,base,9.9693,275,1.26365112,constant CO2
2184,19.566973,1076.934369,6.759486338,base,9.9693,275,1.265911966,constant CO2
2185,19.297179,1076.934369,6.768001906,base,9.9693,275,1.26814411,constant CO2
2186,19.027384,1076.934369,6.776393173,base,9.9693,275,1.270347155,constant CO2
2187,18.757589,1076.934369,6.784660623,base,9.9693,275,1.272520145,constant CO2
2188,18.487794,1076.934369,6.792805268,base,9.9693,275,1.274662669,constant CO2
2189,18.217999,1076.934369,6.800828691,base,9.9693,275,1.276774913,constant CO2
2190,17.948204,1076.934369,6.808732969,base,9.9693,275,1.278857575,constant CO2
2191,17.678409,1076.934369,6.816520624,base,9.9693,275,1.280911821,constant CO2
2192,17.408614,1076.934369,6.824194229,base,9.9693,275,1.282938886,constant CO2
2193,17.138819,1076.934369,6.831755998,base,9.9693,275,1.284939669,constant CO2
2194,16.869024,1076.934369,6.839207847,base,9.9693,275,1.286914789,constant CO2
2195,16.59923,1076.934369,6.846551508,base,9.9693,275,1.288864702,constant CO2
2196,16.329435,1076.934369,6.85378862,base,9.9693,275,1.29078979,constant CO2
2197,16.05964,1076.934369,6.860919965,base,9.9693,275,1.292689596,constant CO2
2198,15.789845,1076.934369,6.867945735,base,9.9693,275,1.294563092,constant CO2
2199,15.52005,1076.934369,6.87486666,base,9.9693,275,1.296409808,constant CO2
2200,15.250255,1076.934369,6.881684059,base,9.9693,275,1.29822988,constant CO2
2201,14.98046,1076.934369,6.888399732,base,9.9693,275,1.300023944,constant CO2
2202,14.710665,1076.934369,6.895015933,base,9.9693,275,1.301793104,constant CO2
2203,14.44087,1076.934369,6.901534964,base,9.9693,275,1.303538536,constant CO2
2204,14.171076,1076.934369,6.907958778,base,9.9693,275,1.305261077,constant CO2
2205,13.901281,1076.934369,6.914288999,base,9.9693,275,1.306961257,constant CO2
2206,13.631486,1076.934369,6.920527144,base,9.9693,275,1.308639513,constant CO2
2207,13.361691,1076.934369,6.926674547,base,9.9693,275,1.310296116,constant CO2
2208,13.091896,1076.934369,6.932731762,base,9.9693,275,1.311930574,constant CO2
2209,12.822101,1076.934369,6.938698746,base,9.9693,275,1.313541811,constant CO2
2210,12.552306,1076.934369,6.944575982,base,9.9693,275,1.315129298,constant CO2
2211,12.282511,1076.934369,6.950364549,base,9.9693,275,1.316693111,constant CO2
2212,12.012716,1076.934369,6.956066036,base,9.9693,275,1.318233856,constant CO2
2213,11.742921,1076.934369,6.961682473,base,9.9693,275,1.319752592,constant CO2
2214,11.473127,1076.934369,6.967215945,base,9.9693,275,1.32125045,constant CO2
2215,11.203332,1076.934369,6.972668175,base,9.9693,275,1.322728211,constant CO2
2216,10.933537,1076.934369,6.978040602,base,9.9693,275,1.324186389,constant CO2
2217,10.663742,1076.934369,6.983334498,base,9.9693,275,1.325625342,constant CO2
2218,10.393947,1076.934369,6.988551014,base,9.9693,275,1.327045324,constant CO2
2219,10.124152,1076.934369,6.993690502,base,9.9693,275,1.328445801,constant CO2
2220,9.8543571,1076.934369,6.998752695,base,9.9693,275,1.329825635,constant CO2
2221,9.5845622,1076.934369,7.003737907,base,9.9693,275,1.331184281,constant CO2
2222,9.3147673,1076.934369,7.008647046,base,9.9693,275,1.332521801,constant CO2
2223,9.0449724,1076.934369,7.013481485,base,9.9693,275,1.333838738,constant CO2
2224,8.7751776,1076.934369,7.018243104,base,9.9693,275,1.335136149,constant CO2
2225,8.5053827,1076.934369,7.022933778,base,9.9693,275,1.336415105,constant CO2
2226,8.2355878,1076.934369,7.027555049,base,9.9693,275,1.337676349,constant CO2
2227,7.9657929,1076.934369,7.032108188,base,9.9693,275,1.338920371,constant CO2
2228,7.695998,1076.934369,7.036594277,base,9.9693,275,1.340147481,constant CO2
2229,7.4262031,1076.934369,7.041014307,base,9.9693,275,1.341357911,constant CO2
2230,7.1564082,1076.934369,7.045368433,base,9.9693,275,1.342551067,constant CO2
2231,6.8866133,1076.934369,7.049656257,base,9.9693,275,1.343725814,constant CO2
2232,6.6168184,1076.934369,7.053877924,base,9.9693,275,1.344881573,constant CO2
2233,6.3470235,1076.934369,7.058034169,base,9.9693,275,1.346018361,constant CO2
2234,6.0772286,1076.934369,7.062126226,base,9.9693,275,1.347136712,constant CO2
2235,5.8074337,1076.934369,7.066155792,base,9.9693,275,1.348237629,constant CO2
2236,5.5376388,1076.934369,7.070124623,base,9.9693,275,1.349322183,constant CO2
2237,5.2678439,1076.934369,7.074034105,base,9.9693,275,1.350391089,constant CO2
2238,4.998049,1076.934369,7.07788532,base,9.9693,275,1.351444768,constant CO2
2239,4.7282541,1076.934369,7.081679226,base,9.9693,275,1.352483524,constant CO2
2240,4.4584592,1076.934369,7.085416653,base,9.9693,275,1.353507546,constant CO2
2241,4.1886643,1076.934369,7.089097636,base,9.9693,275,1.354516237,constant CO2
2242,3.9188694,1076.934369,7.092721609,base,9.9693,275,1.355508406,constant CO2
2243,3.6490745,1076.934369,7.096288602,base,9.9693,275,1.356483472,constant CO2
2244,3.3792796,1076.934369,7.099799245,base,9.9693,275,1.357441459,constant CO2
2245,3.1094847,1076.934369,7.103254612,base,9.9693,275,1.358382847,constant CO2
2246,2.8396898,1076.934369,7.10665629,base,9.9693,275,1.359308636,constant CO2
2247,2.5698949,1076.934369,7.110005888,base,9.9693,275,1.360219858,constant CO2
2248,2.3001,1076.934369,7.11330466,base,9.9693,275,1.361117201,constant CO2
2249,2.088,1076.934369,7.116553586,base,9.9693,275,1.362001082,constant CO2
2250,2.0458,1076.934369,7.119753372,base,9.9693,275,1.362871657,constant CO2
2251,2.05004,1076.934369,7.122904676,base,9.9693,275,1.363729041,constant CO2
2252,2.05428,1076.934369,7.126008233,base,9.9693,275,1.364573435,constant CO2
2253,2.05852,1076.934369,7.129064767,base,9.9693,275,1.365405034,constant CO2
2254,2.06276,1076.934369,7.132074989,base,9.9693,275,1.366224034,constant CO2
2255,2.067,1076.934369,7.135039602,base,9.9693,275,1.367030625,constant CO2
2256,2.07852,1076.934369,7.137959297,base,9.9693,275,1.367824995,constant CO2
2257,2.09004,1076.934369,7.140834753,base,9.9693,275,1.368607328,constant CO2
2258,2.10156,1076.934369,7.143666643,base,9.9693,275,1.369377809,constant CO2
2259,2.11308,1076.934369,7.146455624,base,9.9693,275,1.370136615,constant CO2
2260,2.1246,1076.934369,7.149202349,base,9.9693,275,1.370883924,constant CO2
2261,2.1217267,1076.934369,7.151907456,base,9.9693,275,1.37161991,constant CO2
2262,2.1188533,1076.934369,7.154571577,base,9.9693,275,1.372344745,constant CO2
2263,2.11598,1076.934369,7.157195333,base,9.9693,275,1.373058598,constant CO2
2264,2.1131067,1076.934369,7.159779335,base,9.9693,275,1.373761635,constant CO2
2265,2.1102333,1076.934369,7.162324185,base,9.9693,275,1.374454019,constant CO2
2266,2.10736,1076.934369,7.164830477,base,9.9693,275,1.375135913,constant CO2
2267,2.1044867,1076.934369,7.167298794,base,9.9693,275,1.375807476,constant CO2
2268,2.1016133,1076.934369,7.169729713,base,9.9693,275,1.376468863,constant CO2
2269,2.09874,1076.934369,7.1721238,base,9.9693,275,1.377120229,constant CO2
2270,2.0958667,1076.934369,7.174481613,base,9.9693,275,1.377761726,constant CO2
2271,2.0929933,1076.934369,7.176803701,base,9.9693,275,1.378393503,constant CO2
2272,2.09012,1076.934369,7.179090606,base,9.9693,275,1.379015708,constant CO2
2273,2.0872467,1076.934369,7.181342861,base,9.9693,275,1.379628485,constant CO2
2274,2.0843733,1076.934369,7.183560991,base,9.9693,275,1.380231978,constant CO2
2275,2.0815,1076.934369,7.185745513,base,9.9693,275,1.380826327,constant CO2
2276,2.078004,1076.934369,7.187896937,base,9.9693,275,1.381411671,constant CO2
2277,2.074508,1076.934369,7.190015762,base,9.9693,275,1.381988146,constant CO2
2278,2.071012,1076.934369,7.192102485,base,9.9693,275,1.382555887,constant CO2
2279,2.067516,1076.934369,7.19415759,base,9.9693,275,1.383115025,constant CO2
2280,2.06402,1076.934369,7.196181558,base,9.9693,275,1.383665692,constant CO2
2281,2.060524,1076.934369,7.198174859,base,9.9693,275,1.384208015,constant CO2
2282,2.057028,1076.934369,7.200137959,base,9.9693,275,1.384742121,constant CO2
2283,2.053532,1076.934369,7.202071315,base,9.9693,275,1.385268135,constant CO2
2284,2.050036,1076.934369,7.203975377,base,9.9693,275,1.385786178,constant CO2
2285,2.04654,1076.934369,7.20585059,base,9.9693,275,1.386296373,constant CO2
2286,2.043044,1076.934369,7.207697391,base,9.9693,275,1.386798837,constant CO2
2287,2.039548,1076.934369,7.20951621,base,9.9693,275,1.387293689,constant CO2
2288,2.036052,1076.934369,7.211307471,base,9.9693,275,1.387781042,constant CO2
2289,2.032556,1076.934369,7.213071592,base,9.9693,275,1.388261011,constant CO2
2290,2.02906,1076.934369,7.214808984,base,9.9693,275,1.388733709,constant CO2
2291,2.025564,1076.934369,7.216520051,base,9.9693,275,1.389199244,constant CO2
2292,2.022068,1076.934369,7.218205194,base,9.9693,275,1.389657725,constant CO2
2293,2.018572,1076.934369,7.219864803,base,9.9693,275,1.39010926,constant CO2
2294,2.015076,1076.934369,7.221499268,base,9.9693,275,1.390553953,constant CO2
2295,2.01158,1076.934369,7.223108967,base,9.9693,275,1.390991909,constant CO2
2296,2.008084,1076.934369,7.224694278,base,9.9693,275,1.391423229,constant CO2
2297,2.004588,1076.934369,7.226255568,base,9.9693,275,1.391848014,constant CO2
2298,2.001092,1076.934369,7.227793202,base,9.9693,275,1.392266362,constant CO2
2299,1.997596,1076.934369,7.229307539,base,9.9693,275,1.392678372,constant CO2
2300,1.9941,1076.934369,7.230798932,base,9.9693,275,1.39308414,constant CO2
2010,,,,,,,,
2011,,,,,,,,
2012,,,,,,,,
2013,,,,,,,,
2014,,,,,,,,
2015,,,,,,,,
2016,,,,,,,,
2017,,,,,,,,
2018,,,,,,,,
2019,,,,,,,,
2020,,,,,,,,
2021,,,,,,,,
2022,,,,,,,,
2023,,,,,,,,
2024,,,,,,,,
2025,,,,,,,,
2026,,,,,,,,
2027,,,,,,,,
2028,,,,,,,,
2029,,,,,,,,
2030,,,,,,,,
2031,,,,,,,,
2032,,,,,,,,
2033,,,,,,,,
2034,,,,,,,,
2035,,,,,,,,
2036,,,,,,,,
2037,,,,,,,,
2038,,,,,,,,
2039,,,,,,,,
2040,,,,,,,,
2041,,,,,,,,
2042,,,,,,,,
2043,,,,,,,,
2044,,,,,,,,
2045,,,,,,,,
2046,,,,,,,,
2047,,,,,,,,
2048,,,,,,,,
2049,,,,,,,,
2050,,,,,,,,
2051,,,,,,,,
2052,,,,,,,,
2053,,,,,,,,
2054,,,,,,,,
2055,,,,,,,,
2056,,,,,,,,
2057,,,,,,,,
2058,,,,,,,,
2059,,,,,,,,
2060,,,,,,,,
