,Name,,oep01,oep1,oep3
,2060,,0.780416057,0.514939632,0.247306475
,2061,,0.780416057,0.514939632,0.247306475
,2062,,0.780416057,0.514939632,0.247306475
,2063,,0.780416057,0.514939632,0.247306475
,2064,,0.780416057,0.514939632,0.247306475
,2065,,0.780416057,0.514939632,0.247306475
,2066,,0.780416057,0.514939632,0.247306475
,2067,,0.780416057,0.514939632,0.247306475
,2068,,0.780416057,0.514939632,0.247306475
,2069,,0.780416057,0.514939632,0.247306475
,2070,,0.848318211,0.572697217,0.280139614
,2071,,0.848318211,0.572697217,0.280139614
,2072,,0.848318211,0.572697217,0.280139614
,2073,,0.848318211,0.572697217,0.280139614
,2074,,0.848318211,0.572697217,0.280139614
,2075,,0.848318211,0.572697217,0.280139614
,2076,,0.848318211,0.572697217,0.280139614
,2077,,0.848318211,0.572697217,0.280139614
,2078,,0.848318211,0.572697217,0.280139614
,2079,,0.848318211,0.572697217,0.280139614
,2080,,0.941180871,0.649855888,0.324075667
,2081,,0.941180871,0.649855888,0.324075667
,2082,,0.941180871,0.649855888,0.324075667
,2083,,0.941180871,0.649855888,0.324075667
,2084,,0.941180871,0.649855888,0.324075667
,2085,,0.941180871,0.649855888,0.324075667
,2086,,0.941180871,0.649855888,0.324075667
,2087,,0.941180871,0.649855888,0.324075667
,2088,,0.941180871,0.649855888,0.324075667
,2089,,0.941180871,0.649855888,0.324075667
,2090,,0.998435696,0.703925917,0.359360276
,2091,,0.998435696,0.703925917,0.359360276
,2092,,0.998435696,0.703925917,0.359360276
,2093,,0.998435696,0.703925917,0.359360276
,2094,,0.998435696,0.703925917,0.359360276
,2095,,0.998435696,0.703925917,0.359360276
,2096,,0.998435696,0.703925917,0.359360276
,2097,,0.998435696,0.703925917,0.359360276
,2098,,0.998435696,0.703925917,0.359360276
,2099,,0.998435696,0.703925917,0.359360276
,2100,,1,0.903870212,0.460690411
,2101,,1,0.903870212,0.460690411
,2102,,1,0.903870212,0.460690411
,2103,,1,0.903870212,0.460690411
,2104,,1,0.903870212,0.460690411
,2105,,1,0.903870212,0.460690411
,2106,,1,0.903870212,0.460690411
,2107,,1,0.903870212,0.460690411
,2108,,1,0.903870212,0.460690411
,2109,,1,0.903870212,0.460690411
,2110,,1,0.903870212,0.460690411
,2111,,1,0.903870212,0.460690411
,2112,,1,0.903870212,0.460690411
,2113,,1,0.903870212,0.460690411
,2114,,1,0.903870212,0.460690411
,2115,,1,0.903870212,0.460690411
,2116,,1,0.903870212,0.460690411
,2117,,1,0.903870212,0.460690411
,2118,,1,0.903870212,0.460690411
,2119,,1,0.903870212,0.460690411
,2120,,1,0.903870212,0.460690411
,2121,,1,0.903870212,0.460690411
,2122,,1,0.903870212,0.460690411
,2123,,1,0.903870212,0.460690411
,2124,,1,0.903870212,0.460690411
,2125,,1,0.903870212,0.460690411
,2126,,1,0.903870212,0.460690411
,2127,,1,0.903870212,0.460690411
,2128,,1,0.903870212,0.460690411
,2129,,1,0.903870212,0.460690411
,2130,,1,0.903870212,0.460690411
,2131,,1,0.903870212,0.460690411
,2132,,1,0.903870212,0.460690411
,2133,,1,0.903870212,0.460690411
,2134,,1,0.903870212,0.460690411
,2135,,1,0.903870212,0.460690411
,2136,,1,0.903870212,0.460690411
,2137,,1,0.903870212,0.460690411
,2138,,1,0.903870212,0.460690411
,2139,,1,0.903870212,0.460690411
,2140,,1,0.903870212,0.460690411
,2141,,1,0.903870212,0.460690411
,2142,,1,0.903870212,0.460690411
,2143,,1,0.903870212,0.460690411
,2144,,1,0.903870212,0.460690411
,2145,,1,0.903870212,0.460690411
,2146,,1,0.903870212,0.460690411
,2147,,1,0.903870212,0.460690411
,2148,,1,0.903870212,0.460690411
,2149,,1,0.903870212,0.460690411
,2150,,1,0.903870212,0.460690411
,2151,,1,0.903870212,0.460690411
,2152,,1,0.903870212,0.460690411
,2153,,1,0.903870212,0.460690411
,2154,,1,0.903870212,0.460690411
,2155,,1,0.903870212,0.460690411
,2156,,1,0.903870212,0.460690411
,2157,,1,0.903870212,0.460690411
,2158,,1,0.903870212,0.460690411
,2159,,1,0.903870212,0.460690411
,2160,,1,0.903870212,0.460690411
,2161,,1,0.903870212,0.460690411
,2162,,1,0.903870212,0.460690411
,2163,,1,0.903870212,0.460690411
,2164,,1,0.903870212,0.460690411
,2165,,1,0.903870212,0.460690411
,2166,,1,0.903870212,0.460690411
,2167,,1,0.903870212,0.460690411
,2168,,1,0.903870212,0.460690411
,2169,,1,0.903870212,0.460690411
,2170,,1,0.903870212,0.460690411
,2171,,1,0.903870212,0.460690411
,2172,,1,0.903870212,0.460690411
,2173,,1,0.903870212,0.460690411
,2174,,1,0.903870212,0.460690411
,2175,,1,0.903870212,0.460690411
,2176,,1,0.903870212,0.460690411
,2177,,1,0.903870212,0.460690411
,2178,,1,0.903870212,0.460690411
,2179,,1,0.903870212,0.460690411
,2180,,1,0.903870212,0.460690411
,2181,,1,0.903870212,0.460690411
,2182,,1,0.903870212,0.460690411
,2183,,1,0.903870212,0.460690411
,2184,,1,0.903870212,0.460690411
,2185,,1,0.903870212,0.460690411
,2186,,1,0.903870212,0.460690411
,2187,,1,0.903870212,0.460690411
,2188,,1,0.903870212,0.460690411
,2189,,1,0.903870212,0.460690411
,2190,,1,0.903870212,0.460690411
,2191,,1,0.903870212,0.460690411
,2192,,1,0.903870212,0.460690411
,2193,,1,0.903870212,0.460690411
,2194,,1,0.903870212,0.460690411
,2195,,1,0.903870212,0.460690411
,2196,,1,0.903870212,0.460690411
,2197,,1,0.903870212,0.460690411
,2198,,1,0.903870212,0.460690411
,2199,,1,0.903870212,0.460690411
,2200,,1,0.903870212,0.460690411
,2201,,1,0.903870212,0.460690411
,2202,,1,0.903870212,0.460690411
,2203,,1,0.903870212,0.460690411
,2204,,1,0.903870212,0.460690411
,2205,,1,0.903870212,0.460690411
,2206,,1,0.903870212,0.460690411
,2207,,1,0.903870212,0.460690411
,2208,,1,0.903870212,0.460690411
,2209,,1,0.903870212,0.460690411
,2210,,1,0.903870212,0.460690411
,2211,,1,0.903870212,0.460690411
,2212,,1,0.903870212,0.460690411
,2213,,1,0.903870212,0.460690411
,2214,,1,0.903870212,0.460690411
,2215,,1,0.903870212,0.460690411
,2216,,1,0.903870212,0.460690411
,2217,,1,0.903870212,0.460690411
,2218,,1,0.903870212,0.460690411
,2219,,1,0.903870212,0.460690411
,2220,,1,0.903870212,0.460690411
,2221,,1,0.903870212,0.460690411
,2222,,1,0.903870212,0.460690411
,2223,,1,0.903870212,0.460690411
,2224,,1,0.903870212,0.460690411
,2225,,1,0.903870212,0.460690411
,2226,,1,0.903870212,0.460690411
,2227,,1,0.903870212,0.460690411
,2228,,1,0.903870212,0.460690411
,2229,,1,0.903870212,0.460690411
,2230,,1,0.903870212,0.460690411
,2231,,1,0.903870212,0.460690411
,2232,,1,0.903870212,0.460690411
,2233,,1,0.903870212,0.460690411
,2234,,1,0.903870212,0.460690411
,2235,,1,0.903870212,0.460690411
,2236,,1,0.903870212,0.460690411
,2237,,1,0.903870212,0.460690411
,2238,,1,0.903870212,0.460690411
,2239,,1,0.903870212,0.460690411
,2240,,1,0.903870212,0.460690411
,2241,,1,0.903870212,0.460690411
,2242,,1,0.903870212,0.460690411
,2243,,1,0.903870212,0.460690411
,2244,,1,0.903870212,0.460690411
,2245,,1,0.903870212,0.460690411
,2246,,1,0.903870212,0.460690411
,2247,,1,0.903870212,0.460690411
,2248,,1,0.903870212,0.460690411
,2249,,1,0.903870212,0.460690411
,2250,,1,0.903870212,0.460690411
,2251,,1,0.903870212,0.460690411
,2252,,1,0.903870212,0.460690411
,2253,,1,0.903870212,0.460690411
,2254,,1,0.903870212,0.460690411
,2255,,1,0.903870212,0.460690411
,2256,,1,0.903870212,0.460690411
,2257,,1,0.903870212,0.460690411
,2258,,1,0.903870212,0.460690411
,2259,,1,0.903870212,0.460690411
,2260,,1,0.903870212,0.460690411
,2261,,1,0.903870212,0.460690411
,2262,,1,0.903870212,0.460690411
,2263,,1,0.903870212,0.460690411
,2264,,1,0.903870212,0.460690411
,2265,,1,0.903870212,0.460690411
,2266,,1,0.903870212,0.460690411
,2267,,1,0.903870212,0.460690411
,2268,,1,0.903870212,0.460690411
,2269,,1,0.903870212,0.460690411
,2270,,1,0.903870212,0.460690411
,2271,,1,0.903870212,0.460690411
,2272,,1,0.903870212,0.460690411
,2273,,1,0.903870212,0.460690411
,2274,,1,0.903870212,0.460690411
,2275,,1,0.903870212,0.460690411
,2276,,1,0.903870212,0.460690411
,2277,,1,0.903870212,0.460690411
,2278,,1,0.903870212,0.460690411
,2279,,1,0.903870212,0.460690411
,2280,,1,0.903870212,0.460690411
,2281,,1,0.903870212,0.460690411
,2282,,1,0.903870212,0.460690411
,2283,,1,0.903870212,0.460690411
,2284,,1,0.903870212,0.460690411
,2285,,1,0.903870212,0.460690411
,2286,,1,0.903870212,0.460690411
,2287,,1,0.903870212,0.460690411
,2288,,1,0.903870212,0.460690411
,2289,,1,0.903870212,0.460690411
,2290,,1,0.903870212,0.460690411
,2291,,1,0.903870212,0.460690411
,2292,,1,0.903870212,0.460690411
,2293,,1,0.903870212,0.460690411
,2294,,1,0.903870212,0.460690411
,2295,,1,0.903870212,0.460690411
,2296,,1,0.903870212,0.460690411
,2297,,1,0.903870212,0.460690411
,2298,,1,0.903870212,0.460690411
,2299,,1,0.903870212,0.460690411
,2300,,1,0.903870212,0.460690411
