year,backstopprice,sigma_abatement,,,
2255,104.5276465,0.049606171,,,
2256,104.0232603,0.049489251,,,
2257,103.5215299,0.049384849,,,
2258,103.0224402,0.049292966,,,
2259,102.5259759,0.0492136,,,
2260,102.0321223,0.049146753,,,
2261,101.5408644,0.049092424,,,
2262,101.0521874,0.049050613,,,
2263,100.5660767,0.04902132,,,
2264,100.0825176,0.049004546,,,
2265,99.60149567,0.04900029,,,
2266,99.12299643,0.049008552,,,
2267,98.64700556,0.049029332,,,
2268,98.17350883,0.04906263,,,
2269,97.70249206,0.049108447,,,
2270,97.23394118,0.049166782,,,
2271,96.76784221,0.049237635,,,
2272,96.30418125,0.049321006,,,
2273,95.84294447,0.049416895,,,
2274,95.38411815,0.049525303,,,
2275,94.92768863,0.049646229,,,
2276,94.47364236,0.049779673,,,
2277,94.02196584,0.049925635,,,
2278,93.57264568,0.050084115,,,
2279,93.12566856,0.050255114,,,
2280,92.68102123,0.050438631,,,
2281,92.23869055,0.050634666,,,
2282,91.79866344,0.050843219,,,
2283,91.36092688,0.051064291,,,
2284,90.92546798,0.051297881,,,
2285,90.49227388,0.051543989,,,
2286,90.06133183,0.051802615,,,
2287,89.63262913,0.052073759,,,
2288,89.20615319,0.052357422,,,
2289,88.78189146,0.052653602,,,
2290,88.3598315,0.052962301,,,
2291,87.93996092,0.053283518,,,
2292,87.52226741,0.053617254,,,
2293,87.10673876,0.053963507,,,
2294,86.69336279,0.054322279,,,
2295,86.28212743,0.054693569,,,
2296,85.87302066,0.055077377,,,
2297,85.46603056,0.055473704,,,
2298,85.06114524,0.055882548,,,
2299,84.65835292,0.056303911,,,
2300,84.25764188,0.056737792,,,
