v YEARS/GAS >,TOTAL_INCLVOLCANIC_RF,VOLCANIC_ANNUAL_RF,SOLAR_RF,TOTAL_ANTHRO_RF,GHG_RF,KYOTOGHG_RF,CO2CH4N2O_RF,CO2_RF,NON_CO2_RF,CH4_RF,N2O_RF,FGASSUM_RF,MHALOSUM_RF,CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL,TOTAER_DIR_RF,OCI_RF,BCI_RF,SOXI_RF,NOXI_RF,BIOMASSAER_RF,MINERALDUST_RF,CLOUD_TOT_RF,STRATOZ_RF,TROPOZ_RF,CH4OXSTRATH2O_RF,LANDUSE_RF,BCSNOW_RF
1788,0.36176885,0.22806922,0.0586425,0.07505713,0.098651212,0.098651212,0.098651212,0.081821836,-0.006764706,0.013840881,0.0029884956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0053342047,-0.000067430628,0.00024266085,-0.00053794308,-0.000093397953,0.0017209328,-0.0065990267,-0.027280699,0,0.016066818,0.0023487515,-0.013198053,0.0038033064
1789,0.25105384,0.12306922,0.050159375,0.077825245,0.10205324,0.10205324,0.10205324,0.084889902,-0.007064657,0.01410682,0.00305652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0055045289,-0.000067430628,0.00024266085,-0.00054762039,-0.000095276734,0.0017687706,-0.0068056326,-0.028075643,0,0.016650192,0.0023938946,-0.013611265,0.0039193532
1790,0.088882243,-0.025680781,0.03401125,0.080551774,0.10535801,0.10535801,0.10535801,0.087836927,-0.00728515299999999,0.014396016,0.0031250695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0056687204,-0.000067430628,0.00024266085,-0.00055728522,-0.000097173895,0.0018162557,-0.0070057472,-0.028844201,0,0.017243497,0.002442986,-0.014011494,0.0040316937
1791,0.10802003,0.0093192188,0.015911875,0.082788937,0.10856468,0.10856468,0.10856468,0.090660982,-0.00787204499999999,0.014709547,0.0031941524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0061142875,-0.000084288285,0.00030332606,-0.00058991532,-0.000099479084,0.0015555487,-0.0071994795,-0.02976689,0,0.01784717,0.0024962091,-0.014398959,0.0041610137
1792,0.23279865,0.14056922,0.007214375,0.085015058,0.11170704,0.11170704,0.11170704,0.09339792,-0.00838286199999999,0.015045435,0.0032636832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0065545164,-0.00010114594,0.00036399127,-0.00062244784,-0.00010180359,0.0012938285,-0.0073869387,-0.030664026,0,0.018460463,0.0025532282,-0.014773877,0.0042867483
1793,0.29457518,0.20619422,0.000695625,0.087685339,0.11479562,0.11479562,0.11479562,0.096060423,-0.008375084,0.015401464,0.0033337284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0067019838,-0.00010114594,0.00036399127,-0.00063193533,-0.00010376139,0.0013391014,-0.0075682338,-0.031356362,0,0.019082538,0.0026136672,-0.015136468,0.0043883326
1794,0.29173845,0.21494422,-0.013549375,0.09034361,0.11782246,0.11782246,0.11782246,0.098642066,-0.008298456,0.015775909,0.0034044868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006843508,-0.00010114594,0.00036399127,-0.00064146793,-0.00010574454,0.0013843328,-0.0077434737,-0.03202483,0,0.019712747,0.0026772335,-0.015486947,0.0044864524
1795,0.25684617,0.19306922,-0.0292075,0.092984454,0.12078398,0.12078398,0.12078398,0.1011408,-0.00815634600000001,0.016167048,0.0034761277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0069792222,-0.00010114594,0.00036399127,-0.0006510462,-0.00010775425,0.0014295005,-0.0079127675,-0.032670018,0,0.020350446,0.0027436349,-0.015825535,0.0045811681
1796,0.24505257,0.18869422,-0.0392525,0.095610854,0.12368496,0.12368496,0.12368496,0.10356312,-0.007952266,0.016573161,0.0035486751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007109261,-0.00010114594,0.00036399127,-0.00066067052,-0.00010979168,0.0014745802,-0.0080762243,-0.033292506,0,0.020994994,0.0028125795,-0.016152449,0.0046725403
1797,0.26205657,0.21056922,-0.046291875,0.09777923,0.12652962,0.12652962,0.12652962,0.10591503,-0.0081358,0.016992531,0.0036220603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0075230941,-0.0001180036,0.00042465648,-0.00069299989,-0.00011223841,0.0012094443,-0.008233953,-0.03407017,0,0.021645752,0.002883776,-0.016467906,0.0047812548
